key,value,date
ncaa,59,03/21/14
ncaa,140,03/22/14
ncaa,161,03/23/14
ncaa,38,03/24/14
ncaa,53,03/25/14
ncaa,45,03/26/14
ncaa,43,03/27/14
ncaa,46,03/28/14
ncaa,47,03/29/14
ncaa,44,03/30/14
ncaa,37,03/31/14
bbn,37,03/21/14
bbn,40,03/22/14
bbn,96,03/23/14
bbn,14,03/24/14
bbn,21,03/25/14
bbn,15,03/26/14
bbn,9,03/27/14
bbn,61,03/28/14
bbn,52,03/29/14
bbn,61,03/30/14
bbn,25,03/31/14
sweet16,0,03/21/14
sweet16,30,03/22/14
sweet16,59,03/23/14
sweet16,36,03/24/14
sweet16,55,03/25/14
sweet16,97,03/26/14
sweet16,121,03/27/14
sweet16,115,03/28/14
sweet16,19,03/29/14
sweet16,3,03/30/14
sweet16,1,03/31/14
watchlikeking,4,03/21/14
watchlikeking,49,03/22/14
watchlikeking,36,03/23/14
watchlikeking,16,03/24/14
watchlikeking,35,03/25/14
watchlikeking,70,03/26/14
watchlikeking,38,03/27/14
watchlikeking,27,03/28/14
watchlikeking,30,03/29/14
watchlikeking,24,03/30/14
watchlikeking,60,03/31/14
finalfour,4,03/21/14
finalfour,16,03/22/14
finalfour,22,03/23/14
finalfour,13,03/24/14
finalfour,30,03/25/14
finalfour,27,03/26/14
finalfour,24,03/27/14
finalfour,23,03/28/14
finalfour,52,03/29/14
finalfour,107,03/30/14
finalfour,156,03/31/14
RI,1,03/21/14
RI,15,03/22/14
RI,35,03/23/14
RI,38,03/24/14
RI,22,03/25/14
RI,16,03/26/14
RI,07,03/27/14
RI,02,03/28/14
RI,17,03/29/14
RI,33,03/30/14
RI,4,03/31/14
